GEOID,scenario,dest_id,dest_name,dest_type,travel_time_min,reachable
13121008203,bus_rail,grady,Grady Memorial Hospital,hospital,39.45688514647681,TRUE
13121008203,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,39.38333333333333,TRUE
13121008203,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009604,rail_only,midtown,Midtown,job_center,4,TRUE
13121009604,rail_only,downtown,Downtown,job_center,8,TRUE
13121009604,rail_only,gatech,Georgia Tech,education,6,TRUE
13121009604,rail_only,emory,Emory,education,NA,FALSE
13121009604,rail_only,grady,Grady Memorial Hospital,hospital,9,TRUE
13121009604,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121009604,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009604,bus_rail,midtown,Midtown,job_center,4,TRUE
13121009604,bus_rail,downtown,Downtown,job_center,8,TRUE
13121009604,bus_rail,gatech,Georgia Tech,education,6,TRUE
13121009604,bus_rail,emory,Emory,education,13.5,TRUE
13121009604,bus_rail,grady,Grady Memorial Hospital,hospital,9,TRUE
13121009604,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,1.2833333333333334,TRUE
13121009604,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009405,rail_only,midtown,Midtown,job_center,4,TRUE
13121009405,rail_only,downtown,Downtown,job_center,8,TRUE
13121009405,rail_only,gatech,Georgia Tech,education,6,TRUE
13121009405,rail_only,emory,Emory,education,NA,FALSE
13121009405,rail_only,grady,Grady Memorial Hospital,hospital,9,TRUE
13121009405,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121009405,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009405,bus_rail,midtown,Midtown,job_center,4,TRUE
13121009405,bus_rail,downtown,Downtown,job_center,8,TRUE
13121009405,bus_rail,gatech,Georgia Tech,education,6,TRUE
13121009405,bus_rail,emory,Emory,education,8.45,TRUE
13121009405,bus_rail,grady,Grady Memorial Hospital,hospital,9,TRUE
13121009405,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,0,TRUE
13121009405,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121001802,rail_only,midtown,Midtown,job_center,0,TRUE
13121001802,rail_only,downtown,Downtown,job_center,0,TRUE
13121001802,rail_only,gatech,Georgia Tech,education,0,TRUE
13121001802,rail_only,emory,Emory,education,NA,FALSE
13121001802,rail_only,grady,Grady Memorial Hospital,hospital,0,TRUE
13121001802,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121001802,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121001802,bus_rail,midtown,Midtown,job_center,0,TRUE
13121001802,bus_rail,downtown,Downtown,job_center,0,TRUE
13121001802,bus_rail,gatech,Georgia Tech,education,0,TRUE
13121001802,bus_rail,emory,Emory,education,16.083333333333332,TRUE
13121001802,bus_rail,grady,Grady Memorial Hospital,hospital,0,TRUE
13121001802,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,12.883333333333333,TRUE
13121001802,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121002802,rail_only,midtown,Midtown,job_center,2,TRUE
13121002802,rail_only,downtown,Downtown,job_center,0,TRUE
13121002802,rail_only,gatech,Georgia Tech,education,0,TRUE
13121002802,rail_only,emory,Emory,education,NA,FALSE
13121002802,rail_only,grady,Grady Memorial Hospital,hospital,0,TRUE
13121002802,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121002802,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121002802,bus_rail,midtown,Midtown,job_center,0,TRUE
13121002802,bus_rail,downtown,Downtown,job_center,0,TRUE
13121002802,bus_rail,gatech,Georgia Tech,education,0,TRUE
13121002802,bus_rail,emory,Emory,education,16.783333333333335,TRUE
13121002802,bus_rail,grady,Grady Memorial Hospital,hospital,0,TRUE
13121002802,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,13.883333333333333,TRUE
13121002802,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009001,rail_only,midtown,Midtown,job_center,NA,FALSE
13121009001,rail_only,downtown,Downtown,job_center,NA,FALSE
13121009001,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121009001,rail_only,emory,Emory,education,NA,FALSE
13121009001,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121009001,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121009001,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009001,bus_rail,midtown,Midtown,job_center,2.5166666666666666,TRUE
13121009001,bus_rail,downtown,Downtown,job_center,26.55,TRUE
13121009001,bus_rail,gatech,Georgia Tech,education,4.866666666666666,TRUE
13121009001,bus_rail,emory,Emory,education,38.666666666666664,TRUE
13121009001,bus_rail,grady,Grady Memorial Hospital,hospital,26.733333333333334,TRUE
13121009001,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,0,TRUE
13121009001,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121005503,rail_only,midtown,Midtown,job_center,NA,FALSE
13121005503,rail_only,downtown,Downtown,job_center,NA,FALSE
13121005503,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121005503,rail_only,emory,Emory,education,NA,FALSE
13121005503,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121005503,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121005503,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121005503,bus_rail,midtown,Midtown,job_center,25.066666666666666,TRUE
13121005503,bus_rail,downtown,Downtown,job_center,8,TRUE
13121005503,bus_rail,gatech,Georgia Tech,education,24.133333333333333,TRUE
13121005503,bus_rail,emory,Emory,education,88.75,TRUE
13121005503,bus_rail,grady,Grady Memorial Hospital,hospital,8,TRUE
13121005503,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,53.56666666666667,TRUE
13121005503,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009503,rail_only,midtown,Midtown,job_center,NA,FALSE
13121009503,rail_only,downtown,Downtown,job_center,NA,FALSE
13121009503,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121009503,rail_only,emory,Emory,education,NA,FALSE
13121009503,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121009503,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121009503,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009503,bus_rail,midtown,Midtown,job_center,9.4,TRUE
13121009503,bus_rail,downtown,Downtown,job_center,33.983333333333334,TRUE
13121009503,bus_rail,gatech,Georgia Tech,education,25.466666666666665,TRUE
13121009503,bus_rail,emory,Emory,education,130.68333333333334,TRUE
13121009503,bus_rail,grady,Grady Memorial Hospital,hospital,34.71666666666667,TRUE
13121009503,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,0,TRUE
13121009503,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13089020100,rail_only,midtown,Midtown,job_center,NA,FALSE
13089020100,rail_only,downtown,Downtown,job_center,NA,FALSE
13089020100,rail_only,gatech,Georgia Tech,education,NA,FALSE
13089020100,rail_only,emory,Emory,education,NA,FALSE
13089020100,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13089020100,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13089020100,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13089020100,bus_rail,midtown,Midtown,job_center,5.533333333333333,TRUE
13089020100,bus_rail,downtown,Downtown,job_center,17.383333333333333,TRUE
13089020100,bus_rail,gatech,Georgia Tech,education,9.75,TRUE
13089020100,bus_rail,emory,Emory,education,0,TRUE
13089020100,bus_rail,grady,Grady Memorial Hospital,hospital,12.45,TRUE
13089020100,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,44.13333333333333,TRUE
13089020100,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121006000,rail_only,midtown,Midtown,job_center,NA,FALSE
13121006000,rail_only,downtown,Downtown,job_center,NA,FALSE
13121006000,rail_only,gatech,Georgia Tech,education,NA,FALSE
