GEOID,scenario,mean_tt,min_tt,max_tt,n_30,n_45,n_60
13121005503,rail_only,NA,NA,NA,0,0,0
13121005504,bus_rail,31.255555555555553,10.983333333333333,78.05,4,5,5
13121005504,rail_only,NA,NA,NA,0,0,0
13121005700,bus_rail,19.994444444444447,1.2333333333333334,67.93333333333334,4,5,5
13121005700,rail_only,5,2,9,4,4,4
13121005800,bus_rail,20.322222222222223,1.6,67.93333333333334,4,5,5
13121005800,rail_only,5,2,9,4,4,4
13121006000,bus_rail,33.205555555555556,8.616666666666667,76.23333333333333,4,4,5
13121006000,rail_only,NA,NA,NA,0,0,0
13121006100,bus_rail,37,4,145.73333333333332,4,4,5
13121006100,rail_only,7,4,11,4,4,4
13121006200,bus_rail,26.488888888888887,2,102.58333333333333,4,5,5
13121006200,rail_only,5,2,9,4,4,4
13121006300,bus_rail,23.683333333333334,3.45,69.91666666666667,4,5,5
13121006300,rail_only,NA,NA,NA,0,0,0
13121006400,bus_rail,29.491666666666667,9.183333333333334,76.1,4,5,5
13121006400,rail_only,NA,NA,NA,0,0,0
13121006500,bus_rail,45.980555555555554,12.283333333333333,139.41666666666666,4,4,5
13121006500,rail_only,NA,NA,NA,0,0,0
13121006601,bus_rail,53.28333333333334,23.066666666666666,142.61666666666667,3,4,5
13121006601,rail_only,NA,NA,NA,0,0,0
13121006602,bus_rail,15.6,4,50,4,4,5
13121006602,rail_only,7,4,11,4,4,4
13121006701,bus_rail,34.58611111111111,8,88.75,4,4,5
13121006701,rail_only,NA,NA,NA,0,0,0
13121006702,bus_rail,36.52777777777778,11.65,80.8,4,4,5
13121006702,rail_only,NA,NA,NA,0,0,0
13121006801,bus_rail,37.99166666666667,17.616666666666667,84.93333333333334,4,4,5
13121006801,rail_only,NA,NA,NA,0,0,0
13121006802,bus_rail,39.480555555555554,19.05,86.7,4,4,5
13121006802,rail_only,NA,NA,NA,0,0,0
13121006900,bus_rail,40.4,19.933333333333334,87.8,3,4,5
13121006900,rail_only,NA,NA,NA,0,0,0
13121007001,bus_rail,45.00333333333334,26.733333333333334,75.91666666666667,2,2,4
13121007001,rail_only,NA,NA,NA,0,0,0
13121007002,bus_rail,45.875,18.433333333333334,100.46666666666667,2,4,4
13121007002,rail_only,NA,NA,NA,0,0,0
13121007100,bus_rail,40.4,19.933333333333334,87.8,3,4,5
13121007100,rail_only,NA,NA,NA,0,0,0
13121007200,bus_rail,53.61388888888889,25.65,108.46666666666667,2,4,4
13121007200,rail_only,NA,NA,NA,0,0,0
13121007301,bus_rail,82.24166666666667,56.95,108,0,0,2
13121007301,rail_only,NA,NA,NA,0,0,0
13121007302,bus_rail,50.91388888888889,23.116666666666667,105.68333333333334,2,4,4
13121007302,rail_only,NA,NA,NA,0,0,0
13121007400,bus_rail,60.800000000000004,30.583333333333332,150.13333333333333,0,4,4
13121007400,rail_only,NA,NA,NA,0,0,0
13121007500,bus_rail,56.041666666666664,26.466666666666665,146.15,2,4,4
13121007500,rail_only,NA,NA,NA,0,0,0
13121007602,bus_rail,56.51111111111111,26.483333333333334,151.65,2,4,4
13121007602,rail_only,NA,NA,NA,0,0,0
13121007603,bus_rail,18.46,6,56.3,4,4,5
13121007603,rail_only,9,6,13,4,4,4
13121007604,bus_rail,46.94,30.55,63.583333333333336,0,2,4
13121007604,rail_only,NA,NA,NA,0,0,0
13121007703,bus_rail,71.63333333333333,45.733333333333334,145.96666666666667,0,0,4
13121007703,rail_only,NA,NA,NA,0,0,0
13121007705,bus_rail,72.72222222222223,49.06666666666667,150.46666666666667,0,0,4
13121007705,rail_only,NA,NA,NA,0,0,0
13121007707,bus_rail,67.57777777777778,43.78333333333333,145.96666666666667,0,2,4
13121007707,rail_only,NA,NA,NA,0,0,0
13121007708,bus_rail,61.75277777777778,33.46666666666667,148.08333333333334,0,4,4
13121007708,rail_only,NA,NA,NA,0,0,0
13121007709,bus_rail,70.98333333333333,62.46666666666667,91.81666666666666,0,0,0
13121007709,rail_only,NA,NA,NA,0,0,0
13121007710,bus_rail,74.93333333333334,66.41666666666667,95.76666666666667,0,0,0
13121007710,rail_only,NA,NA,NA,0,0,0
13121007711,bus_rail,74.73333333333333,49.916666666666664,150.15,0,0,4
13121007711,rail_only,NA,NA,NA,0,0,0
13121007806,bus_rail,61.33888888888889,34.65,134.88333333333333,0,4,4
13121007806,rail_only,NA,NA,NA,0,0,0
13121007807,bus_rail,64.28611111111111,35.71666666666667,140.95,0,4,4
13121007807,rail_only,NA,NA,NA,0,0,0
13121007808,bus_rail,47.34444444444444,27.483333333333334,97.03333333333333,1,4,5
13121007808,rail_only,NA,NA,NA,0,0,0
13121007809,bus_rail,NA,NA,NA,0,0,0
13121007809,rail_only,NA,NA,NA,0,0,0
13121007810,bus_rail,71.6861111111111,43.9,144.13333333333333,0,1,4
13121007810,rail_only,NA,NA,NA,0,0,0
13121007900,bus_rail,56.84722222222222,35.03333333333333,124.18333333333334,0,4,4
13121007900,rail_only,NA,NA,NA,0,0,0
13121008000,bus_rail,56.647222222222226,26.483333333333334,151.65,2,4,4
13121008000,rail_only,NA,NA,NA,0,0,0
13121008103,bus_rail,46.05,25.216666666666665,95.81666666666666,2,4,5
13121008103,rail_only,NA,NA,NA,0,0,0
13121008104,bus_rail,32.047222222222224,7,82.43333333333334,4,4,5
13121008104,rail_only,7.5,7,8,2,2,2
13121008203,bus_rail,37.3761475244128,17.333333333333332,73.8,2,5,5
13121008203,rail_only,NA,NA,NA,0,0,0
13121008204,bus_rail,39.824034542095646,21.9568851464768,78.42355181314346,2,5,5
13121008204,rail_only,NA,NA,NA,0,0,0
13121008301,bus_rail,30.36896171549227,10.623551813143468,79.18333333333334,4,5,5
13121008301,rail_only,11.123551813143468,10.623551813143468,11.623551813143468,2,2,2
13121008302,bus_rail,28.03611111111111,4,76.23333333333333,4,5,5
13121008302,rail_only,4.5,4,5,2,2,2
13121008400,bus_rail,20.813888888888886,4.583333333333333,61.8,4,5,5
13121008400,rail_only,5.5,5,6,2,2,2
13121008500,bus_rail,30.102777777777778,8.016666666666667,64.48333333333333,3,5,5
13121008500,rail_only,NA,NA,NA,0,0,0
13121008601,bus_rail,34.43055555555556,13.4,69.86666666666666,3,5,5
13121008601,rail_only,NA,NA,NA,0,0,0
13121008602,bus_rail,43.05555555555556,20.816666666666666,77.6,2,4,5
13121008602,rail_only,NA,NA,NA,0,0,0
13121008701,bus_rail,37.11666666666667,19.2,84.6,3,5,5
13121008701,rail_only,NA,NA,NA,0,0,0
13121008702,bus_rail,42.4,15.266666666666667,105.05,3,4,5
13121008702,rail_only,NA,NA,NA,0,0,0
13121008801,bus_rail,38.980555555555554,23.033333333333335,84.6,3,5,5
13121008801,rail_only,NA,NA,NA,0,0,0
13121008802,bus_rail,25.833333333333336,13.65,61.7,5,5,5
13121008802,rail_only,NA,NA,NA,0,0,0
13121008903,bus_rail,24.269444444444446,9.35,61.15,5,5,5
13121008903,rail_only,NA,NA,NA,0,0,0
13121008905,bus_rail,9.122222222222224,0,35.4,5,6,6
13121008905,rail_only,NA,NA,NA,0,0,0
13121008906,bus_rail,24.594444444444445,8.8,61.15,5,5,5
13121008906,rail_only,NA,NA,NA,0,0,0
13121008907,bus_rail,19.93611111111111,4.716666666666667,43.38333333333333,5,6,6
13121008907,rail_only,NA,NA,NA,0,0,0
13121008908,bus_rail,11.902777777777777,0,36.8,5,6,6
13121008908,rail_only,NA,NA,NA,0,0,0
13121008909,bus_rail,19.73611111111111,0,38.666666666666664,3,6,6
13121008909,rail_only,NA,NA,NA,0,0,0
13121009001,bus_rail,16.555555555555557,0,38.666666666666664,5,6,6
13121009001,rail_only,NA,NA,NA,0,0,0
13121009002,bus_rail,24.566666666666666,4.716666666666667,41.8,3,6,6
13121009002,rail_only,NA,NA,NA,0,0,0
13121009103,bus_rail,10.472222222222223,0,27.75,6,6,6
13121009103,rail_only,NA,NA,NA,0,0,0
13121009104,bus_rail,14.222222222222221,0,27.75,6,6,6
13121009104,rail_only,NA,NA,NA,0,0,0
13121009105,bus_rail,13.175,0,25.833333333333332,6,6,6
13121009105,rail_only,NA,NA,NA,0,0,0
13121009106,bus_rail,13.669444444444444,0,26.55,6,6,6
13121009106,rail_only,NA,NA,NA,0,0,0
13121009201,bus_rail,22.08888888888889,3.433333333333333,47.31666666666667,4,5,6
13121009201,rail_only,NA,NA,NA,0,0,0
13121009202,bus_rail,6.2972222222222225,0,10.85,6,6,6
13121009202,rail_only,6.75,4,9,4,4,4
13121009203,bus_rail,5.752777777777778,1.4666666666666666,9,6,6,6
13121009203,rail_only,6.75,4,9,4,4,4
13121009301,bus_rail,6.75,0,13.5,6,6,6
13121009301,rail_only,6.75,4,9,4,4,4
13121009302,bus_rail,6.308333333333334,0,10.85,6,6,6
13121009302,rail_only,6.75,4,9,4,4,4
13121009405,bus_rail,5.908333333333333,0,9,6,6,6
13121009405,rail_only,6.75,4,9,4,4,4
13121009406,bus_rail,6.413888888888889,4,9,6,6,6
13121009406,rail_only,6.75,4,9,4,4,4
